{},"{{535558, 1141766, 34980}, {525646, 1150345, 36313}}",{},"{{471453, 1204488, 36363}, {461847, 1213471, 36986}, {473701, 1200985, 37618}, {464095, 1209968, 38241}}"
"{{122509, 122509, 1467286}}","{{122509, 36393, 1553402}}",{},"{{36393, 36393, 1639518}, {30410, 18602, 1663292}, {12619, 12619, 1687066}}"
{},"{{828336, 830163, 53805}, {822543, 835322, 54439}}",{},"{{773894, 882479, 55931}, {780723, 875022, 56559}, {780690, 875055, 56559}, {787519, 867598, 57187}}"
"{{859956, 449164, 403184}}","{{913565, 374222, 424517}, {901932, 379046, 431326}}","{{814181, 474462, 423661}, {835442, 445536, 431326}}","{{867790, 399520, 444994}, {874130, 386952, 451222}, {873133, 387806, 451365}, {873173, 387379, 451752}, {879513, 374811, 457980}}"
{},"{{618772, 1027276, 66256}}",{},"{{551844, 1091740, 68720}, {554810, 1087617, 69877}}"
"{{879445, 634540, 198319}, {916214, 577083, 219007}}","{{932198, 566358, 213748}, {923012, 573183, 216109}, {922798, 572851, 216655}}","{{826728, 672500, 213076}, {838191, 658340, 215773}, {848149, 647821, 216334}}","{{879481, 604318, 228505}, {885959, 595485, 230860}, {885840, 595604, 230860}, {874509, 606620, 231175}, {880868, 597906, 233530}, {885841, 595087, 231376}, {892319, 586254, 233731}}"
"{{845453, 474940, 391911}}","{{896940, 402842, 412522}, {886157, 406594, 419553}}","{{800190, 499943, 412171}, {819666, 473085, 419553}}","{{851677, 427845, 432782}, {856847, 416135, 439322}, {845518, 427464, 439322}, {850688, 415754, 445862}, {856810, 416101, 439393}}"
{},"{{559342, 1109676, 43286}, {550215, 1117627, 44462}}",{},"{{496829, 1170634, 44841}, {487336, 1179188, 45780}, {499516, 1166807, 45981}, {490023, 1175361, 46920}}"
"{{877298, 636638, 198368}, {913817, 579303, 219184}}","{{929694, 568830, 213780}, {920454, 575707, 216143}, {920473, 575001, 216830}}","{{824695, 674459, 213150}, {836110, 660345, 215849}, {845782, 650013, 216509}}","{{877091, 606651, 228562}, {883539, 597846, 230919}, {883428, 597957, 230919}, {872081, 608989, 231234}, {878418, 600295, 233591}, {883429, 597323, 231552}, {889877, 588518, 233909}}"
"{{843482, 476407, 392415}}","{{894623, 404676, 413005}, {884020, 408092, 420192}}","{{798386, 501207, 412711}, {817529, 474583, 420192}}","{{849527, 429476, 433301}, {854676, 417772, 439856}, {843331, 429117, 439856}, {848480, 417413, 446411}, {854639, 417621, 440044}}"
"{{782048, 732219, 198037}, {807143, 686352, 218809}}","{{829119, 670296, 212889}, {816945, 679564, 215795}, {817241, 679127, 215936}}","{{726141, 773346, 212817}, {732796, 764008, 215500}, {743310, 752850, 216144}}","{{773212, 711423, 227669}, {766240, 715724, 230340}, {777572, 704190, 230542}, {766232, 715732, 230340}, {770592, 708499, 233213}, {777572, 704073, 230659}, {770600, 708374, 233330}}"
{},"{{548330, 1129066, 34908}, {539301, 1136780, 36223}}",{},"{{485390, 1190959, 35955}, {475771, 1199641, 36892}, {487949, 1187145, 37210}, {478330, 1195827, 38147}}"
"{{541407, 425841, 745056}}","{{569714, 349057, 793533}, {553149, 353496, 805659}}","{{470168, 449255, 792881}, {479169, 427476, 805659}}","{{498475, 372471, 841358}, {499499, 360329, 852476}, {500458, 359561, 852285}, {487632, 372073, 852599}, {489615, 359163, 863526}}"
"{{122509, 122509, 1467286}}","{{122509, 36715, 1553080}}",{},"{{36715, 36715, 1638874}, {30731, 18603, 1662970}, {12619, 12619, 1687066}}"
{},"{{847383, 811558, 53363}, {842132, 816176, 53996}}",{},"{{794749, 862311, 55244}, {801870, 854563, 55871}, {801837, 854596, 55871}, {808958, 846848, 56498}}"
"{{942185, 573551, 196568}, {986196, 509187, 216921}}","{{997564, 502823, 211917}, {990090, 507951, 214263}, {991140, 506580, 214584}}","{{892309, 609051, 210944}, {914478, 584124, 213702}, {915411, 582855, 214038}}","{{947688, 538323, 226293}, {955510, 528161, 228633}, {955407, 528264, 228633}, {955504, 527852, 228948}, {963223, 517793, 231288}, {955408, 527948, 228948}, {963230, 517786, 231288}}"
{},"{{831071, 837499, 43734}, {826259, 841359, 44686}}",{},"{{777263, 889993, 45048}, {784275, 882041, 45988}, {784241, 882075, 45988}, {791253, 874123, 46928}}"
"{{864246, 444894, 403164}}","{{917767, 369863, 424674}, {906483, 374306, 431515}}","{{819168, 469773, 423363}, {840201, 440588, 431515}}","{{872689, 394742, 444873}, {879098, 382089, 451117}, {878117, 382935, 451252}, {878157, 382299, 451848}, {884566, 369646, 458092}}"
"{{853134, 457926, 401244}}","{{904916, 385270, 422118}, {894328, 388641, 429335}}","{{808420, 482467, 421417}, {828046, 454923, 429335}}","{{860202, 409811, 442291}, {866364, 397092, 448848}, {865485, 397920, 448899}, {865522, 397544, 449238}, {871684, 384825, 455795}}"
{},"{{634826, 1015437, 62041}}",{},"{{569603, 1078839, 63862}, {572834, 1074144, 65326}}"
